image,phrase1,phrase2,original_phrase1,original_phrase2,original_label,type_label
10010052,trendy girl,woman,A trendy girl,Woman,Alternation,0
10082348,coffee mug,cup coffee,a coffee mug,a cup of coffee,Independence,4
10090841,dark-haired man,old man,A dark-haired man,A old man,Independence,4
10188041,red spaceship,small red object,a red spaceship,a small red object,Independence,4
10350842,red life jacket,red life-vest,a red life jacket,a red life-vest,Equivalence,3
10404007,toddler,young white boy,A toddler,Young white boy,Independence,4
10404007,baby boy,blond toddler,A baby boy,A blond toddler,Alternation,0
10404007,baby boy,young white boy,A baby boy,Young white boy,Independence,4
10404007,blond toddler,young white boy,A blond toddler,Young white boy,Independence,4
10459869,several asians,six people,Several Asians,Six people,Independence,4
10602072,short tree,small tree,a short tree,a small tree,Equivalence,3
10602072,one,younger one,one,the younger one,Entailment2,2
10637120,large earth moving machine,large machine,A large earth moving machine,a large machine,Entailment1,1
10863862,man,"older , male construction worker",A man,"An older , male construction worker",Entailment2,2
10951809,elderly women,old women,An elderly women,An old women,Equivalence,3
11026590,headlamp,heads-up light,a headlamp,a heads-up light,Independence,4
11026590,goggles,yellow glasses,goggles,yellow glasses,Entailment2,2
11026590,read-haired girl,red-haired girl,a read-haired girl,red-haired girl,Equivalence,3
11034843,baby,white baby boy,A baby,A white baby boy,Entailment2,2
11034843,toddler,white baby boy,A toddler,A white baby boy,Alternation,0
11034843,crying baby,toddler,crying baby,A toddler,Alternation,0
11079715,guitar,odd-shaped guitar,a guitar,an odd-shaped guitar,Entailment2,2
11079715,funky outfit,purple clothing,a funky outfit,purple clothing,Independence,4
11131022,father,older person,A father,An older person,Independence,4
11214205,three construction men,three construction workers,Three construction men,Three construction workers,Entailment1,1
11337976,chopper,motorcycle,a chopper,a motorcycle,Entailment1,1
11391827,brown shirt,brown uniform,a brown shirt,a brown uniform,Independence,4
11533606,black train,stopped train,a black train,a stopped train,Independence,4
11533606,train conductor,train operator,a train conductor,Train operator,Equivalence,3
11536856,food,large meal,food,a large meal,Entailment2,2
11610969,big outdoor market,metal fence,A big outdoor market,a metal fence,Alternation,0
11808546,little child,young boy,A little child,A young boy,Entailment2,2
11914981,piece large machinery,x-ray machine,a piece of large machinery,X-ray machine,Entailment2,2
11914981,large machine,x-ray machine,a large machine,X-ray machine,Entailment2,2
11914981,device,heavy machine,a device,a heavy machine,Entailment2,2
12118309,black glasses,eyeglasses,black glasses,eyeglasses,Entailment1,1
12118309,bread,sandwiches,bread,sandwiches,Independence,4
12118309,black rimmed glasses,eyeglasses,black rimmed glasses,eyeglasses,Entailment1,1
12142386,clown,male,A clown,A male,Independence,4
12142391,pink plaid shirt,red flannel shirt,a pink plaid shirt,red flannel shirt,Alternation,0
12142391,pins,two indian clubs,pins,two Indian clubs,Independence,4
12335073,some vegetables,vegetable produce,some vegetables,vegetable produce,Equivalence,3
12379850,barbecue,wok,a barbecue,Wok,Alternation,0
12379850,barbecue,large skillet,a barbecue,Large skillet,Alternation,0
12393802,carcass cow,cow,the carcass of a cow,a cow,Entailment1,1
12393802,carcass cow,hanging carcass cow,the carcass of a cow,the hanging carcass of a cow,Entailment2,2
12393804,large feather,large red feather,a large feather,a large red feather,Entailment2,2
12526324,drink,refreshing sip,a drink,a refreshing sip,Entailment2,2
12526324,baby,blond-haired toddler,Baby,a blond-haired toddler,Alternation,0
12526324,blond-haired toddler,child,a blond-haired toddler,A child,Alternation,0
12637806,edge building,outside building,the edge of a building,outside of a building,Independence,4
12736326,blond-haired woman,waitress,Blond-haired woman,Waitress,Independence,4
12770842,people,seated crowd,People,a seated crowd,Entailment2,2
12830823,fish,orange fish,the fish,the orange fish,Entailment2,2
12830823,fish pond,pool,a fish pond,a pool,Independence,4
12904363,red buoy,red line,a red buoy,a red line,Alternation,0
12974441,bad rash,burns,a bad rash,burns,Alternation,0
12974441,"injured , bloody person",young man,"An injured , bloody person",Young man,Independence,4
13042995,yellow packages,yellow stacks paper,yellow packages,yellow stacks of paper,Alternation,0
13237748,"large , gray rock",large rock,"a large , gray rock",a large rock,Entailment1,1
13478218,fishing cap,green hat,a fishing cap,green hat,Independence,4
13615892,infant,small baby,An infant,A small baby,Equivalence,3
13651137,grill,jackhammer,a grill,a jackhammer,Alternation,0
13652901,naval ship,ship,a Naval ship,a ship,Entailment1,1
13691837,ripped blue jeans,ripped jeans,ripped blue jeans,ripped jeans,Entailment1,1
14133592,pink shirt,t-shirt,a pink shirt,a t-shirt,Independence,4
14153510,14 women,group women,14 Women,A group of women,Entailment1,1
14252494,pink blanket,plum-colored,a pink blanket,a plum-colored,Alternation,0
14252494,plum-colored,small pink cover,a plum-colored,a small pink cover,Alternation,0
14698352,grayish colored van,van,a grayish colored van,a van,Entailment1,1
14698542,2 tires,stack two tires,2 tires,a stack of two tires,Entailment2,2
14799369,beer,beer bottle,beer,a beer bottle,Entailment2,2
14813436,three women,young asian girls,Three women,Young Asian girls,Alternation,0
14813436,three women,three young girls,Three women,Three young girls,Alternation,0
14955512,frowning toddler,sleeping baby,A frowning toddler,A sleeping baby,Alternation,0
14955512,child,frowning toddler,A child,A frowning toddler,Alternation,0
14955512,baby,frowning toddler,Baby,A frowning toddler,Alternation,0
15269955,black white outfit,black white suit,black and white outfit,a black and white suit,Entailment2,2
15305247,caricature two people,picture two children,a caricature of two people,a picture of two children,Independence,4
15308698,sand dune,sand mound,a sand dune,a sand mound,Entailment1,1
15688495,cake,lovely cake,cake,a lovely cake,Entailment2,2
15688683,gift,gift item,a gift,a gift item,Equivalence,3
15859665,toddler boy,young boy,A toddler boy,A young boy,Entailment1,1
15859665,fake horse,plastic horse,a fake horse,a plastic horse,Entailment2,2
15875060,green shorts,swimming trunks,green shorts,swimming trunks,Independence,4
15950702,girl,young blond,A girl,A young blond,Independence,4
15950702,lady,young blond,A lady,A young blond,Independence,4
15965185,"five casually dressed , dark-haired young men",group men,"Five casually dressed , dark-haired young men",Group of men,Entailment1,1
16396183,cooking grill,grill,a cooking grill,a grill,Equivalence,3
16396183,object,pieces new item,an object,pieces of a new item,Alternation,0
16495609,elementary school students,some children,Elementary school students,Some children,Entailment1,1
16626851,grass,grassy lawn,the grass,a grassy lawn,Entailment2,2
16653104,inflatable croquet,plastic hammer,inflatable croquet,plastic hammer,Independence,4
16653104,croquet,inflatable toy,Croquet,inflatable toy,Independence,4
16653104,inflatable toy,plastic hammer,inflatable toy,plastic hammer,Independence,4
16933558,cafeteria,school lunch room,the cafeteria,a school lunch room,Entailment2,2
16933558,two boys,two high school boys,Two boys,Two high school boys,Entailment2,2
16933558,two high school boys,two men,Two high school boys,Two men,Alternation,0
17095593,two maintenance workers,two male workers,Two maintenance workers,Two male workers,Independence,4
17095593,men,two maintenance workers,Men,Two maintenance workers,Independence,4
17185253,four older people,some elderly people,Four older people,some elderly people,Independence,4
17185253,four elderly women,four older people,Four elderly women,Four older people,Entailment1,1
17314123,container tropical fruits,lemons,a container of tropical fruits,lemons,Independence,4
17314123,lemons,veg,lemons,veg,Alternation,0
17641927,older man,welder,An older man,Welder,Independence,4
17641927,iron,pieces metal,the iron,pieces of metal,Independence,4
17744613,bowling pins,spray paint cans,bowling pins,spray paint cans,Alternation,0
17744613,9 spray cans,spray paint cans,9 spray cans,spray paint cans,Entailment1,1
17744613,aerosol cans,empty spray cans,aerosol cans,empty spray cans,Entailment2,2
17744613,empty spray cans,pins,empty spray cans,pins,Alternation,0
18056405,umbrella,wet umbrella,his umbrella,his wet umbrella,Entailment2,2
18056405,opened black umbrella,umbrella,an opened black umbrella,his umbrella,Entailment1,1
18105594,ball,yellow softball,a ball,a yellow softball,Entailment2,2
18498385,fence,safety fence,a fence,a safety fence,Entailment2,2
18638572,one little boy,young boy,One little boy,A young boy,Equivalence,3
18638572,martial arts class,young boy,his martial arts class,A young boy,Alternation,0
18638572,karate,martial arts,karate,martial arts,Entailment1,1
18638572,karate pose,move,a karate pose,a move,Entailment1,1
18965154,renaissance fair costume,uniform,a Renaissance Fair costume,an uniform,Independence,4
18965154,elaborate costume,renaissance fair costume,elaborate costume,a Renaissance Fair costume,Independence,4
18965154,interesting attire,uniform,an interesting attire,an uniform,Independence,4
19023618,green machine,piece green colored machinery,a green machine,a piece of green colored machinery,Equivalence,3
19023618,green jacket,light green shirt,green jacket,a light green shirt,Alternation,0
19023618,green street cleaning machine,piece green colored machinery,a green street cleaning machine,a piece of green colored machinery,Entailment1,1
19245206,bright pink shirt,pink t-shirt,a bright pink shirt,a pink t-shirt,Independence,4
19541210,river,wide expanse shallow water,a river,a wide expanse of very shallow water,Independence,4
19610188,beautiful puppy,dog,a beautiful puppy,a dog,Entailment1,1
19663663,rest,two,the rest of them,two of them,Independence,4
19787273,chocolate,large box,chocolate,a large box,Alternation,0
19788551,several people,some teenagers,Several people,Some teenagers,Entailment2,2
19788551,band,three female guitarists,a band,three female guitarists,Independence,4
19788552,band,band women,the band,A band of women,Entailment2,2
19796500,child,joyous young boy,a child,A joyous young boy,Entailment2,2
19796500,joyous young boy,son,A joyous young boy,his son,Independence,4
19810652,busy intersection city,city street,a busy intersection of a city,A city street,Independence,4
19965828,public trashcan,trashcan,a public trashcan,a trashcan,Entailment1,1
19986766,red gown,robes,red gown,robes,Alternation,0
20249851,little boy,shoeless toddler,Little boy,a shoeless toddler,Independence,4
20249851,baby,shoeless toddler,Baby,a shoeless toddler,Alternation,0
20450474,boy,van one man,A boy,a van one man,Alternation,0
20486069,asian man,oriental woman,An Asian man,An oriental woman,Alternation,0
20999014,guy,student,a guy,Student,Independence,4
21167868,3 guys,three musicians,3 guys,Three musicians,Independence,4
21214696,large lake,water,large lake,the water,Entailment1,1
21225351,band men,group people,A band of men,A group of people,Entailment1,1
21833287,group gay men,three men,A group of gay men,Three men,Independence,4
22143604,light,some lights,a light,some lights,Alternation,0
22215229,african american man,person,African American man,a person,Entailment1,1
22764427,couple senior citizens,older couple,a couple of senior citizens,an older couple,Independence,4
22764427,people,two elderly people,People,Two elderly people,Entailment2,2
22764427,camera crew,television crew,a camera crew,A television crew,Entailment2,2
22779038,back another man,back black-haired man,the back of another man,the back of a black-haired man,Independence,4
22930048,orange outfit,red clothing,an orange outfit,red clothing,Alternation,0
23010569,blond girl,tennis player,A blond girl,A tennis player,Independence,4
23010569,pink polo shirt,pink t-shirt,a pink polo shirt,a pink t-shirt,Independence,4
23012542,white outfit,white tennis clothes,white outfit,white tennis clothes,Entailment2,2
23012796,blond woman,blond-haired women tennis player,A blond woman,A blond-haired women tennis player,Entailment2,2
23012796,blond female tennis,woman tennis player strains,A blond female tennis,Woman tennis player strains,Independence,4
23015660,tennis player,woman tennis player,A tennis player,A woman tennis player,Entailment2,2
23015940,tennis player,women,A tennis player,Women,Independence,4
23015940,pictures tennis player,tennis player,pictures of a tennis player,A tennis player,Entailment1,1
23015940,female tennis player,women,female tennis player,Women,Alternation,0
23016091,happy tennis player,sportswoman,A happy tennis player,A sportswoman,Independence,4
23016091,female athlete,young female tennis player,A female athlete,A young female tennis player,Entailment2,2
23017965,woman,young tennis player,A woman,Young tennis player,Independence,4
23018379,another woman,younger woman,another woman,a younger woman,Entailment2,2
23018379,racket,rackets,a racket,rackets,Alternation,0
23018702,young lady,young pretty blond women,A young lady,Young pretty blond women,Entailment2,2
23018702,young pretty blond women,young woman,Young pretty blond women,A young woman,Entailment1,1
23022402,grassy cemetery,graveyard,a grassy cemetery,a graveyard,Entailment1,1
23925202,camp chair,chair,a camp chair,a chair,Entailment1,1
24053752,orange vest,red shirt,an orange vest,a red shirt,Alternation,0
24053752,riding lawn mower,tractor,a riding lawn mower,his tractor,Alternation,0
24183660,seven people,three men,Seven people,three men,Alternation,0
24186977,road,smooth pavement,the road,smooth pavement,Independence,4
24187380,constructions workers,men,The constructions workers,men,Independence,4
24188477,driver,worker,driver,A worker,Independence,4
24321674,pebbles,rocks,pebbles,rocks,Entailment1,1
24321674,nearby body water,pond,a nearby body of water,the pond,Independence,4
24355644,apparent act singing,performance,apparent act of singing,a performance,Entailment1,1
24355644,sweaty short-haired woman,three females,A sweaty short-haired woman,Three females,Alternation,0
24498061,another guy,chinese men,another guy,Chinese men,Alternation,0
24498061,three men,three other men,Three men,three other men,Equivalence,3
24498061,three other men,three people,three other men,Three people,Entailment1,1
24666160,poster,red foreign letters,a poster,red foreign letters,Alternation,0
24666160,red foreign letters,words,red foreign letters,words,Independence,4
24710703,crowded auditorium,theater,a crowded auditorium,a theater,Entailment1,1
24761526,smiling blond girl,young woman,A smiling blond girl,A young woman,Alternation,0
24772114,beams,structure,the beams,a structure,Independence,4
24832988,little girl,smiling young girl,A little girl,a smiling young girl,Independence,4
24837637,guy,painter,Guy,A painter,Independence,4
24947103,spoof drag queen,woman,A spoof drag queen,a woman,Alternation,0
24947103,bands stage,stage,a bands stage,a stage,Entailment1,1
25268657,pair young boys,two young boys,A pair of young boys,Two young boys,Equivalence,3
25268657,boys,two young boys,Boys,Two young boys,Entailment2,2
25534384,cabinets,file cabinet,cabinets,a file cabinet,Entailment2,2
25534384,navy blue hat,reversed blue baseball cap,a navy blue hat,a reversed blue baseball cap,Independence,4
25534384,delivery man,school custodian,Delivery man,A school custodian,Alternation,0
25589701,old buildings,some buildings,old buildings,some buildings,Entailment1,1
25589701,some tracks,some train tracks,some tracks,some train tracks,Entailment2,2
25604966,red dresses,similar red outfits,red dresses,similar red outfits,Independence,4
25604966,four women,group girls,Four women,A group of girls,Alternation,0
25604966,group women,singers,A group of women,Singers,Independence,4
26067618,steel beams structure,steel structure,the steel beams of a structure,a steel structure,Entailment1,1
26439066,presents,unwrapped present,presents,an unwrapped present,Entailment2,2
26439066,elderly lady,old lady,An elderly lady,An old lady,Entailment1,1
26625117,ceramic duck mug,daffy duck coffee mug,a ceramic duck mug,a daffy duck coffee mug,Independence,4
26625117,broken mug,daffy duck coffee mug,a broken mug,a daffy duck coffee mug,Independence,4
26690039,blond boy,young blond child,A blond boy,Young blond child,Independence,4
26720379,blond child,image young child,a blond child,the image of a young child,Independence,4
26720379,child,image young child,A child,the image of a young child,Entailment2,2
26758039,crowded intersection,crowded street corner,a crowded intersection,A crowded street corner,Equivalence,3
26805148,bean fence,fence,a bean fence,the fence,Entailment1,1
26833964,five vehicles,group cars,five vehicles,a group of cars,Independence,4
27323284,frisbee,tennis racket,a frisbee,a tennis racket,Alternation,0
27323284,frisbee,racket,a frisbee,a racket,Alternation,0
27499590,sweaty guy,young musician,a sweaty guy,A young musician,Independence,4
27585638,amused male caucasian,young man,an amused male caucasian,a young man,Independence,4
27585638,pink shirt,pink top,a pink shirt,a pink top,Entailment1,1
27782020,mobile puppet theater,puppet theater,a mobile puppet theater,a puppet theater,Entailment1,1
28144507,man,view man,man,view of man,Alternation,0
28144507,view man,window washer,view of man,A window washer,Independence,4
28318644,outdoor fountain,spraying water fountain,an outdoor fountain,a spraying water fountain,Independence,4
28555944,baby boy,toddler,Baby boy,A toddler,Alternation,0
28555944,blond baby,toddler,A blond baby,A toddler,Alternation,0
28555944,chair,portable highchair,a chair,a portable highchair,Entailment2,2
28753061,circle,white disk,a circle,a white disk,Entailment2,2
28804571,powerful moves,tai chi,his most powerful moves,Tai Chi,Independence,4
28804571,balding older man,elderly man,A balding older man,An elderly man,Entailment1,1
28804571,martial arts,tai chi,martial arts,Tai Chi,Entailment2,2
28804571,man,semi-pro martial artist,A man,Semi-pro martial artist,Independence,4
29320312,bite burrito,burrito,a bite of a burrito,a burrito,Entailment1,1
29320965,line boys,young group black belt boys,A line of boys,A young group of black belt boys,Independence,4
29337734,red sea-saws,red seesaws,red sea-saws,red seesaws,Equivalence,3
29389675,hair,multicolored hair,her hair,her multicolored hair,Entailment2,2
30193039,man,semi-naked man,A man,A semi-naked man,Entailment2,2
30193039,speedo swimsuit,swim trunks,a Speedo swimsuit,swim trunks,Independence,4
30605277,shirtless little girl,young toddler,a shirtless little girl,her young toddler,Independence,4
30859019,cloth,garment,cloth,a garment,Entailment2,2
30906273,shouting child,young boy,a shouting child,Young boy,Independence,4
31326591,three people,three person,Three people,Three person,Equivalence,3
31648340,beams,metal beams,beams,metal beams,Entailment2,2
31940658,big green glasses,green swimming goggles,big green glasses,green swimming goggles,Independence,4
